instruction,intent
Hello,greeting
Hi,greeting
Hey,greeting
Good morning,greeting
Good afternoon,greeting
Good evening,greeting
Hi there,greeting
Greetings,greeting
Hello bot,greeting
Are you there?,greeting
Is anyone online?,greeting
Hello hotel,greeting
Hi help,greeting
Start chat,greeting
Yo,greeting
Hiya,greeting
Hola,greeting
Anyone home?,greeting
Good day,greeting
Hello friend,greeting
Hi reception,greeting
Greeting,greeting
Hello support,greeting
Hey there,greeting
Just saying hi,greeting
Am I speaking to a human?,greeting
Hi!,greeting
Hello!,greeting
Hey!,greeting
Good morning!,greeting
Hi there!,greeting
"Hello, how are you?",greeting
"Hey, how is it going?",greeting
"Hi, are you a bot?",greeting
"Hello, I have a question",greeting
"Hey, quick question",greeting
"Hi, are you open?",greeting
Hello from me,greeting
Hi hi,greeting
Heya,greeting
Hellooooo,greeting
Is anybody there?,greeting
Knock knock,greeting
Hello system,greeting
Hi computer,greeting
Greetings to you,greeting
Salutations,greeting
Hi team,greeting
Hello staff,greeting
Hey bot,greeting
Good day to you,greeting
Greetings bot,greeting
Hi there friend,greeting
Hello nice to meet you,greeting
Hey how are you,greeting
Hi assistant,greeting
Hello there,greeting
Just saying hello,greeting
Hi I am new here,greeting
Hello can we chat?,greeting
Hi start,greeting
Hey I need help,greeting
Good morning to you,greeting
Good afternoon there,greeting
Good evening friend,greeting
Hi chat,greeting
Hello application,greeting
Hey system,greeting
Greetings from me,greeting
Hi robot,greeting
Hello virtual agent,greeting
Hey nice day,greeting
Hi nice to see you,greeting
Hello are you active?,greeting
Hi is this the bot?,greeting
Greetings support team,greeting
Hello concierge,greeting
Hey help desk,greeting
Hi front desk,greeting
Hello reception,greeting
Hey can you assist?,greeting
Hi I have a query,greeting
Hello question here,greeting
Hey quick one,greeting
Hi looking for info,greeting
Hello info please,greeting
Hey service,greeting
Hi hotel bot,greeting
Hello guest services,greeting
Hey there bot,greeting
Hi good day,greeting
Hello morning,greeting
Hey afternoon,greeting
Hi evening,greeting
Hello night,greeting
Hey there system,greeting
Hi computer agent,greeting
Hello digital assistant,greeting
Hey auto reply,greeting
Hi message,greeting
Bye,goodbye
Goodbye,goodbye
See you,goodbye
See ya,goodbye
Later,goodbye
Talk to you later,goodbye
Have a good day,goodbye
Goodnight,goodbye
Bye bye,goodbye
Ending chat,goodbye
I'm leaving,goodbye
"Thanks, bye",goodbye
Catch you later,goodbye
Closing this,goodbye
Done,goodbye
Thx bye,goodbye
See you later,goodbye
Have a nice day,goodbye
Bye for now,goodbye
I have to go,goodbye
Gotta go,goodbye
Leaving now,goodbye
End session,goodbye
Quit,goodbye
Exit,goodbye
Stop chat,goodbye
"No more questions, bye",goodbye
"Thank you, goodbye",goodbye
See you soon,goodbye
Peace out,goodbye
Farewell,goodbye
Cheerio,goodbye
I am done,goodbye
Finished,goodbye
Signing off,goodbye
Good bye,goodbye
Bye bot,goodbye
"Thanks for your help, bye",goodbye
Okay bye,goodbye
Till next time,goodbye
Adios,goodbye
Ciao,goodbye
Have a great night,goodbye
See you tomorrow,goodbye
Bye now,goodbye
"Okay, see you",goodbye
"Thanks, see ya",goodbye
"That's all, bye",goodbye
I'm done here,goodbye
Farewell,goodbye
I am leaving now,goodbye
Closing chat,goodbye
End conversation,goodbye
Stop talking,goodbye
Quit session,goodbye
Exit chat,goodbye
I'm going now,goodbye
Talk later,goodbye
Speak soon,goodbye
Until next time,goodbye
Bye for today,goodbye
Good bye friend,goodbye
Leaving the chat,goodbye
Signing out,goodbye
Logging off,goodbye
Shutting down,goodbye
Go to sleep,goodbye
Thanks and bye,goodbye
Okay goodbye,goodbye
Bye see ya,goodbye
Later gator,goodbye
Have a good one,goodbye
Nice chatting bye,goodbye
Ending this now,goodbye
Terminate chat,goodbye
Finish,goodbye
Complete session,goodbye
No more info needed,goodbye
That is all bye,goodbye
All done bye,goodbye
Leaving now thanks,goodbye
Going offline,goodbye
Bye take care,goodbye
Goodbye have fun,goodbye
See you around,goodbye
Catch you on the flip side,goodbye
Time to go,goodbye
Must dash,goodbye
Heading out,goodbye
Departure,goodbye
